latitude,longitude,blue_band,green_band,depth,stumpf_ratio,log_blue,log_green,bg_ratio
11.62708333,89.21041667,0.0317,0.0128,3186,1.355713282,-3.451438598,-4.358310108,2.4765625
6.210416667,78.33541667,0.0386,0.0246,2821,1.140662348,-3.254503003,-3.705008836,1.569105691
8.29375,79.62708333,0.0533,0.0578,1012,0.980021526,-2.931818948,-2.850766503,0.922145329
17.79375,84.96041667,0.0388,0.0296,2472,1.079888994,-3.249335032,-3.519980918,1.310810811
17.62708333,71.96041667,0.0356,0.02965,91,1.0539565,-3.335409641,-3.518293154,1.200674536
8.91875,73.33541667,0.04625,0.0373,2124,1.059427614,-3.073693815,-3.288761952,1.239946381
9.210416667,73.91875,0.0382,0.02645,2561,1.112229194,-3.264919763,-3.632499121,1.444234405
9.210416667,80.08541667,0.08695,0.0992,4,0.97132895,-2.442422038,-2.310617265,0.876512097
7.377083333,79.58541667,0.05895,0.04315,480,1.082877432,-2.831065652,-3.143072861,1.366164542
9.085416667,72.96041667,0.0535,0.0425,2062,1.061388806,-2.928073625,-3.158251203,1.258823529
6.16875,82.00208333,0.0621,0.0538,4057,1.036000672,-2.77900929,-2.922481812,1.154275093
17.91875,71.66875,0.0456,0.032,99,1.102192384,-3.087847562,-3.442019376,1.425
11.54375,71.87708333,0.038,0.0242,1624,1.141614435,-3.270169119,-3.721402646,1.570247934
16.54375,84.91875,0.0471,0.04115,2875,1.036330626,-3.055482278,-3.190531352,1.144592953
21.16875,89.08541667,0.0504,0.0534,21,0.985464474,-2.987764104,-2.929944533,0.943820225
12.66875,80.41875,0.0331,0.0355,63,0.980389754,-3.408221997,-3.338222583,0.932394366
8.585416667,76.29375,0.0464,0.0316,131,1.111243805,-3.07045582,-3.454598158,1.46835443
14.12708333,74.46041667,0.0663,0.07325,13,0.97678361,-2.713565382,-2.613877031,0.905119454
20.83541667,87.41875,0.03965,0.03775,32,1.013524007,-3.227664331,-3.276769803,1.050331126
18.16875,84.91875,0.05355,0.0455,2340,1.042670442,-2.927139482,-3.090042953,1.176923077
10.00208333,79.79375,0.106,0.1228,10,0.969417695,-2.244316185,-2.097198263,0.863192182
9.66875,72.83541667,0.0597,0.0538,1765,1.026110769,-2.818423259,-2.922481812,1.109665428
14.87708333,72.71041667,0.0427,0.0288,1043,1.117196291,-3.153556359,-3.547379892,1.482638889
14.58541667,80.79375,0.04735,0.0327,2615,1.106151972,-3.050188459,-3.420380201,1.448012232
9.502083333,80.58541667,0.09235,0.0804,16,1.031586752,-2.382169572,-2.520741103,1.148631841
