blue_angle,green_angle,log_blue_angle,log_green_angle,bg_ratio_angle,stumpf_angle,depth
0.39155195682521277,0.3160790513541891,1.567330690137509,1.4278423402177642,1.415844920023982,1.7119600303121922,16.0
0.2615444711605913,0.16043925817110688,1.2970081237025588,1.004915386728372,1.9783840898706033,2.2412887964550707,23.0
0.2275130999130875,0.19266423737641464,1.2082791063836242,1.1125961278058867,1.2802549903908196,1.5981687934248088,7.0
0.3039880914805118,0.2135761919670931,1.395552575205583,1.1754736361567821,1.7000270206720798,1.9776022767176604,19.0
0.2592502214135686,0.20706263234048833,1.2913230992942641,1.1564107958433847,1.4053433395484893,1.7177591304391084,24.0
0.2544068078301315,0.16900973136400785,1.279188437027024,1.0349904405270718,1.7920745713197002,2.079168530489908,30.0
0.36402095986093996,0.3006521996069673,1.5171493452657492,1.3945639423283835,1.361227758339057,1.6659212979033482,28.0
0.2607797212449171,0.1710666449303041,1.295117554836322,1.042044110136724,1.8255238108307472,2.1062242870705594,30.0
0.29978196694430354,0.3016806563901155,1.3863060954984259,1.39682586527781,0.9647599182779552,1.2857232930115599,3.0
0.6374190547144821,0.6136458806117122,1.915057655794222,1.8923996099860518,1.0503426188088387,1.3957967865803491,3.0
0.5284421917309025,0.4730901202481355,1.7789621417316117,1.7056159277021452,1.202095297126607,1.5225211896965414,7.0
0.2760747195584019,0.17415201527974844,1.3321133775634015,1.0525099391656387,1.9279306129752987,2.188876168159532,28.0
0.28907546812486407,0.21323337303937706,1.3622808728840705,1.1744815156791528,1.5845605681146353,1.878704183129405,26.0
0.3617267101139172,0.24477271438925274,1.5128234599816301,1.2609882317475707,1.8165735927206599,2.058822130269875,29.0
1.151713373005411,1.4686362863355165,2.3587014872269654,2.5483545409841124,0.5116983508267974,0.9649553948093894,1.0
0.34146083734854976,0.26842722040165956,1.4735710993776294,1.3202609810971286,1.463662949592116,1.7598793040877547,27.0
0.6706856760463117,0.7843697066143,1.9524161952643706,2.0729697560964313,0.6746755794813883,1.0628330889105362,2.0
0.23974909856387538,0.18660777193889078,1.241314308879741,1.0934281488893118,1.4493788494208555,1.7635384689682754,30.0
0.3238715892880422,0.3215641541976458,1.4378858313902398,1.4393504173362075,0.9891075393461446,1.3139836392973931,8.0
0.637036679756645,0.5060007373088755,1.9146180484617215,1.7533990840830656,1.482859223937102,1.7478995407246716,16.0
1.0951218792455168,1.1258173586194764,2.3202324244480534,2.3448295221027484,0.913535034893177,1.3025100960895708,2.0
0.5825482482648552,0.4725758918565615,1.84939461267697,1.7048463190129954,1.4278964602311646,1.7079831501576868,5.0
1.076767881269335,1.0318849724252812,2.3073521903367777,2.2787272513023513,1.0617392329694881,1.4185237333713259,7.0
0.533795441140622,0.6129602427562799,1.786210778658928,1.8915861417472868,0.7134019723122096,1.0791549640781453,17.0
1.1398597493124603,1.1175897043542913,2.3507939775738187,2.339251836018679,1.0125337438569015,1.381960230858426,7.0
0.2202479757141822,0.16386744744826728,1.188005918394245,1.017080720233397,1.5287622428878522,1.8454674144674774,29.0
0.19424647858125788,0.1343850196646878,1.1109745544296286,0.9059027710972796,1.6506965561532725,1.975049354761711,7.0
0.26422109586545117,0.18889322917153817,1.3035905024116317,1.100715125506964,1.6392689850996411,1.9359024522464106,18.0
0.3522947970364346,0.3213356105312946,1.4947919354324934,1.4388741925594077,1.1538381467279433,1.4756841895144381,5.0
0.41831820387381125,0.3531034955475215,1.6133018388003872,1.5025043733675303,1.3216715233686085,1.6277470673560321,16.0
0.2202479757141822,0.17415201527974844,1.188005918394245,1.0525099391656387,1.4090053292221414,1.7277437476367075,20.0
0.9467603956047137,0.9404665939864636,2.2097198043112556,2.2087145394812002,0.9850748536190037,1.354291470798322,3.0
0.23202512441556555,0.15838234460481063,1.2206185459355274,0.9975268522235594,1.7143718051602452,2.0181244643585403,24.0
0.24777897267845495,0.20432008091875997,1.262282217278306,1.1482471404535324,1.3377745995126589,1.6537387637300176,14.0
0.38237495783712183,0.3633880633790027,1.550947340298268,1.5220701358196145,1.0735357164806485,1.4018582365902459,3.0
0.6974519230949102,0.5512528357673927,1.981269453605972,1.81478317653862,1.4996593298769703,1.7569057024695676,6.0
0.20265872765367454,0.16181053388197103,1.136708691731045,1.009803627775026,1.3816050403777103,1.703374557409668,23.0
0.20801197706339425,0.1336993818092557,1.1526683730970406,0.9031251751863771,1.8148084907462214,2.125706643853829,22.0
0.8254200731019007,0.8876724791181931,2.1065505918891323,2.1653196490830737,0.8263350036841859,1.215135549901615,2.0
0.6309186804312511,0.5910198313824535,1.9075516201508527,1.865110887983907,1.1077389668545543,1.4443349574816997,5.0
1.176567745264824,1.2841997032242871,2.3750347477805516,2.4452841040552036,0.7934404155147801,1.208880463315272,1.0
0.24930847250980342,0.17460910946882935,1.2662151568647437,1.0540489201346617,1.6735309259231232,1.9728247235946617,29.0
0.24166097335306097,0.212719144647803,1.246356232120418,1.1729910364051674,1.2104138996266773,1.5275469461152946,26.0
0.26995672023300804,0.2235179408708583,1.3175176288601569,1.203725217761832,1.336091755697517,1.650067077146077,30.0
0.3257834640772278,0.2375735169072159,1.4418418722602904,1.2420458218578085,1.6257157189388864,1.9061801603655715,29.0
0.24777897267845495,0.23037431942517905,1.262282217278306,1.2226464014758247,1.109123052161989,1.4251491649425896,12.0
0.3364899628966672,0.30785139708900416,1.4636448254238923,1.4102653957331928,1.1467346059880896,1.46829639367584,5.0
1.098180878908214,1.3678475215870007,2.3223593137153795,2.493672374103162,0.5527447517731205,0.9972073278251559,7.0
0.24166097335306097,0.15495415532765022,1.246356232120418,0.9850597318233909,1.8580889557153524,2.1456769156042226,25.0
0.3831397077527961,0.2917389074863503,1.5523253755498923,1.3746894108663628,1.5456074656420251,1.8252824560922933,25.0
0.3839044576684703,0.281111520727153,1.553701065354046,1.3503323858301908,1.6364794261759392,1.9023989731376316,27.0
0.37816883330091344,0.24991499830499336,1.5433258572367232,1.2742504319261672,1.8824187383501634,2.107580725380065,14.0
0.288693093167027,0.281111520727153,1.3614094793407676,1.3503323858301908,1.0253966668513514,1.3452184409539205,3.0
0.4997640698931182,0.4278380217896183,1.7389827950554664,1.6349026555870099,1.2982582344674294,1.6047721008719895,13.0
0.3900224569938643,0.31265086207702875,1.5646230908682837,1.4205652477593933,1.4310806564589769,1.7254023910598315,27.0
0.29901721702862927,0.20706263234048833,1.3846134922589335,1.1564107958433847,1.730183244811524,2.005795975227218,17.0
0.721923920396486,0.6431283083952917,2.0067774516233854,1.9266223567927965,1.2193884770563417,1.5375564047567787,5.0
0.3204302146675081,0.2629421175582029,1.4307157903914876,1.3069005375859248,1.366651676126376,1.6743608525684168,21.0
0.36555045969228844,0.27031272450409777,1.5200204590783737,1.3248028391313462,1.607979645662896,1.881916119398789,7.0
0.316988840046974,0.27185540967881994,1.423481572066125,1.3284999175634509,1.274616484487652,1.5889912936501025,19.0
0.21948322579850793,0.17826584241234095,1.1858420151855698,1.0662557981474388,1.3569561697045451,1.6759612162310136,22.0
0.35254971112582634,0.3071657592335721,1.4952845957845815,1.408783158619363,1.247003480179442,1.5625106174133974,13.0
0.3280777138242505,0.25574292007616606,1.4465637025375973,1.2890211596992085,1.4784470330230286,1.7750658444846499,21.0
1.14253637401732,1.2046657119941655,2.3525863189060283,2.3964072861958714,0.8620029400916842,1.263049113633536,5.0
0.3961404563192582,0.3517322198366573,1.5753994852699194,1.49985926153692,1.21195636132875,1.5303195854097273,5.0
0.23584887399393678,0.1623002781457276,1.2309302144099252,1.0115422620069912,1.7005590369193635,2.003492991612439,23.0
1.6610368168444574,1.616734063108846,2.6411641455349817,2.6225062107317685,1.028459348492288,1.4038729180818903,2.0
0.5139119433330919,0.5581092143217137,1.758953127746412,1.823688176039136,0.815518394644638,1.1737547718238508,23.0
0.27033909519084515,0.18992168595468634,1.3184376261851685,1.103972847751845,1.680931911593077,1.9718362617953824,24.0
0.2156594762201367,0.15289724176135397,1.1749347291356727,0.9774856112117116,1.6221725969066505,1.9376291070189557,18.0
0.7081584219143496,0.6314724648529462,1.9925283886671479,1.9132659925477848,1.2168709573338818,1.5355154956209427,3.0
0.9299358974598804,1.0490259188110833,2.196177379740908,2.2912021088795944,0.7336916033494134,1.1428314337697332,1.0
0.2676624704859853,0.1940355130872788,1.311975543391644,1.1168733353042275,1.611326040276689,1.9091353007333316,24.0
0.9284063976285319,0.9372669483756542,2.1949349229913984,2.2061501654391393,0.9515757055802354,1.3263527780641633,2.0
0.36574164717120705,0.2704155701824126,1.5203786320221053,1.3250498401869035,1.6083682791009954,1.8822102692675822,16.0
0.4190829537894855,0.34076201414974405,1.6145776361422617,1.4783791677299654,1.4041700599460534,1.6994533639508775,14.0
1.0706498819439412,0.9640068247375053,2.303012756092841,2.2273337031072256,1.2010940046607927,1.524216962496717,6.0
0.4527319500791522,0.3729869933550518,1.6688076904974571,1.5399117308400623,1.3792786004321183,1.6757253418558582,11.0
1.1161525019265586,1.3117966269054282,2.3347430047972244,2.4615722907078457,0.6551113648747295,1.088759881733794,4.0
0.18545185455100405,0.12889991682123114,1.0831647728977059,0.8834086278420017,1.6320932891212945,1.9609918423831507,24.0
0.712364546450558,0.6194738023828847,1.9969089822004953,1.89928106347878,1.273782239018194,1.5809919906939678,17.0
0.27270981992943527,0.196092426653575,1.3241183541087107,1.1232467894876126,1.6317054621357376,1.9262474661373448,24.0
0.33343096323397026,0.20911954590678455,1.4574751953600935,1.1624796037051368,1.9867767078923315,2.2105525862620583,25.0
0.7326304192159255,0.7521447274089923,2.017688944445882,2.041847452624186,0.9188545146025098,1.288396465548975,3.0
0.3816102079214476,0.30373756995641166,1.5495669507087806,1.4013307131985302,1.4453026968912066,1.738701752852779,16.0
0.6898044239381679,0.6355862919855386,1.9731302352413516,1.9180053769655672,1.1442269269656686,1.476196642981006,15.0
1.1027693784022594,1.1779258356323143,2.3255391908970813,2.379283835816559,0.8364598050791925,1.2404218722830747,2.0
0.40914120488572037,0.30785139708900416,1.5978330873926017,1.4102653957331928,1.579532353830954,1.8498628720334258,21.0
1.076767881269335,1.2478608968863867,2.3073521903367777,2.4233203586820635,0.681346710758034,1.108562762912201,4.0
1.1930098684518202,1.3904735708162594,2.3856612137766153,2.506275687957749,0.6692723227113451,1.1061490117948667,4.0
0.518755356916529,0.41938182385808215,1.7656779863276704,1.620970122533202,1.429844112386258,1.7136336698081527,5.0
0.19654072832828057,0.17140946385802014,1.1180746078254562,1.043213728950795,1.2169914007736702,1.533843481008783,2.0
0.27760421938975044,0.19437833201499483,1.3357214977299545,1.117939092446861,1.692726539768634,1.979932525331825,19.0
0.7983989119639104,0.9982887175091093,2.081665949475193,2.2537004321468026,0.5538678259941383,0.966140283945994,2.0
0.21336522647311396,0.12410045183320659,1.168318996094536,0.8631964605107805,2.033783614420183,2.325643142662254,26.0
1.1823033696323808,1.114847152932563,2.3787575443256923,2.337383976777164,1.0976170944160193,1.447735536334375,8.0
0.40531745530734914,0.31265086207702875,1.5912993609582937,1.4205652477593933,1.5210363211617237,1.8010143299656702,8.0
0.4039791429549192,0.28248279643801716,1.5890000198773668,1.3535169964959777,1.7534054935163288,1.9949475716366214,21.0
0.44661395075375837,0.3668162526561631,1.6592144902899362,1.5284876739001931,1.3854306582826468,1.6813673239812639,22.0
0.3770217084274021,0.2814543396548691,1.5412347372556452,1.351129721950219,1.5894882133135086,1.8638730608187783,11.0
0.42902470269325066,0.3112795863661646,1.6309823043370923,1.417635870659962,1.6710882801242597,1.9221843937002694,24.0
0.5483256895384327,0.425781108223322,1.8055641099531576,1.631535812770455,1.5286479542147042,1.7909600539076864,6.0
0.5532965639903152,0.43766549543201855,1.812080007915465,1.6507969256844537,1.4848472951967528,1.7555913275362185,8.0
0.5479433145805956,0.49777308304369056,1.8050607043481004,1.7417168465020145,1.1713885231740961,1.4964570620615634,8.0
0.26511330664957083,0.17243792064116825,1.3057727747898804,1.0467124141653201,1.8482961851798672,2.1244188545899148,27.0
0.6089321203556165,0.6962652421912778,1.8816341556598322,1.984848832662217,0.7174979126145105,1.094603165847933,2.0
0.5942106844788874,0.5800496256955401,1.8638042514974194,1.851539035074982,1.0215431323300412,1.3687070726822812,3.0
0.6485079284917586,0.7542016409752887,1.9277033467749072,2.0438703802689338,0.6855033873266358,1.0699827520608958,5.0
0.49708744518825837,0.4991443587545546,1.7351484790296783,1.7436757104492373,0.9653685747283294,1.3113079055024608,19.0
0.8794624030253803,0.9352100348093579,2.1541329425396554,2.2044973115895132,0.847516412911008,1.2370311712550928,2.0
0.8886394020134711,0.9873185118221961,2.1619418690430323,2.2453567703914805,0.762969254341171,1.1650455048079555,2.0
0.26575059569679965,0.15906798246024267,1.3073279309281713,0.9999972479493509,2.0399232266794867,2.2922733079511355,24.0
0.34031371247503844,0.3201928784867816,1.471291216943599,1.4364888020508433,1.0918948807180044,1.416114563141094,21.0
0.31354746542643985,0.14844059570104545,1.4161820158136806,0.9608260963473785,2.7020774356082615,2.792969877281206,26.0
0.5022495071190596,0.40041250757233504,1.742527016730481,1.5888090535856367,1.4604323402888582,1.7399808393492124,9.0
0.5246184421525313,0.3938989479457303,1.7737444505605273,1.5774623000669,1.6071838402733525,1.855847759721816,12.0
0.392316706740887,0.3191644217036335,1.5686810956623174,1.4343358870972458,1.3988284547412089,1.69700840955647,9.0
0.24854372259412916,0.28042588287172093,1.2642510797997244,1.3487353382397829,0.7717217233613425,1.068105460461779,5.0
0.28792834325135275,0.2077482701959204,1.3596638683418734,1.1584388255862974,1.632325302549127,1.922208647615549,20.0
0.46496794872994013,0.35824577946326214,1.687659101690575,1.5123467629898992,1.5351607462034245,1.805150678236111,7.0
0.3506378363366407,0.2848825289320295,1.4915822641172478,1.3590598966436227,1.3941184997793126,1.6965573252888548,7.0
0.2974877171972808,0.17826584241234095,1.3812176148829987,1.0662557981474388,2.0697404711091307,2.2981512378927773,16.0
0.29519346745025804,0.23380250870233943,1.376096895275793,1.2319426108865548,1.4345961636760973,1.740031917617423,23.0
0.332666213318296,0.2502578172327094,1.4559254009373506,1.2751268493615817,1.5583316664303257,1.8453647622037979,15.0
0.5857984354064707,0.5032581858871472,1.8534363035987822,1.7495238318594426,1.2958864154867669,1.6007907040913247,6.0
0.3563734607041975,0.30579448352270794,1.5026387649165782,1.4058104639426037,1.2791555308813571,1.5919787756316124,6.0
0.3005408359331262,0.21143357366886784,1.3879821852359497,1.169252707770736,1.6952219067839935,1.9744647454381825,13.0
0.6592144273111981,0.5416539057913436,1.9397280599282931,1.8021481420270733,1.4032798773450532,1.684566756907496,13.0
0.72804191972188,0.654784151937637,2.0130306174417085,1.939760490347931,1.1982421213035133,1.5205992367432115,11.0
0.2848693435886558,0.1936926941595628,1.352643476105404,1.1158061645306132,1.7629609146787868,2.039938575298028,27.0
0.4190829537894855,0.3373338248725836,1.6145776361422617,1.4715472395683604,1.426813134720107,1.718943551388855,6.0
0.35579989826744185,0.22530059929498164,1.5015398969137994,1.208687717052983,1.977263316265734,2.1930631265113254,16.0
0.35178496121015207,0.19677806450900714,1.4938056982095609,1.125360097042123,2.295505019784007,2.4488141452271917,18.0
0.2160418511779738,0.14466958749616898,1.1760321059769825,0.9464548857778761,1.7392156765528528,2.0494041385123714,24.0
0.35828533549338315,0.24865799785549408,1.5062909070792752,1.2710287082203955,1.7541495127785203,2.007718047522295,15.0
0.2435728481422466,0.16249617173740308,1.251366896737264,1.0122366499281603,1.773496489850089,2.067445351885353,30.0
0.4443197010067355,0.4073831613880207,1.655587479653458,1.6007772925158772,1.1480939336972378,1.473619669072737,6.0
0.29404634257674667,0.20317734887424704,1.3735243168385391,1.1448209958977391,1.732247793004732,2.0093577297008407,23.0
0.20648247723204577,0.14569804427931712,1.1481405320158946,0.9503998473777031,1.6237002431354879,1.9429550630151207,29.0
0.2680448454438224,0.29311018319721444,1.3129018674440154,1.377779186031224,0.8209776998663589,1.1283251964181185,1.0
0.7008932977154444,0.7432314352883753,1.9849055300192504,2.0330221455650777,0.8556354851989838,1.2308595045507102,22.0
0.7555729166861528,0.6540985140822049,2.0405861587719523,1.9389935730256147,1.2855550484470595,1.5897568893247724,5.0
